Date,Recorder,Site,Plot,Quadrant,Species,Cover,Year
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,1,soil ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,2,Rubus fruticosus ,75,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,2,Urtica dioica ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,2,Galium aparine ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,2,Arrhenatherium elatius ,40,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,2,Myosotis sylvatica ,15,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,2,Rumex obtusifolius ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,2,Poa trivalis ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,2,Carex remota ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,2,Veronica chamaedrys ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,2,Fraxinus excelsior ,7,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,2,moss ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,2,leaf litter ,1,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,2,soil ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,3,Rubus fruticosus ,40,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,3,Urtica dioica ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,3,Galium aparine ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,3,Arrhenatherium elatius ,60,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,3,Myosotis sylvatica ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,3,Rumex obtusifolius ,6,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,3,Poa trivalis ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,3,Carex remota ,1,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,3,Veronica chamaedrys ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,3,Fraxinus excelsior ,5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,3,moss ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,3,leaf litter ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,3,soil ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,4,Rubus fruticosus ,80,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,4,Urtica dioica ,5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,4,Galium aparine ,2,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,4,Arrhenatherium elatius ,25,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,4,Myosotis sylvatica ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,4,Rumex obtusifolius ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,4,Poa trivalis ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,4,Carex remota ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,4,Veronica chamaedrys ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,4,Fraxinus excelsior ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,4,moss ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,4,leaf litter ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,4,soil ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,1,Holcus molis ,40,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,1,Betula pubescens ,100,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,1,Alnus glutinosa ,100,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,1,Impatients grandiflora,1,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,1,Dryopteris filix-mas,40,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,1,Veronica chamaedrys ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,1,soil ,20,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,1,moss ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,1,leaf litter ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,1,Galium aparine ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,2,Holcus molis ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,2,Betula pubescens ,100,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,2,Alnus glutinosa ,100,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,2,Impatients grandiflora,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,2,Dryopteris filix-mas,50,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,2,Veronica chamaedrys ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,2,soil ,50,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,2,moss ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,2,leaf litter ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,2,Galium aparine ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,3,Holcus molis ,50,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,3,Betula pubescens ,100,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,3,Alnus glutinosa ,100,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,3,Impatients grandiflora,2,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,3,Dryopteris filix-mas,20,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,3,Veronica chamaedrys ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,3,soil ,25,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,3,moss ,2,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,3,leaf litter ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,3,Galium aparine ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,4,Holcus molis ,15,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,4,Betula pubescens ,100,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,4,Alnus glutinosa ,100,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,4,Impatients grandiflora,1,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,4,Dryopteris filix-mas,25,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,4,Veronica chamaedrys ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,4,soil ,70,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,4,moss ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,4,leaf litter ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,123,4,Galium aparine ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,1,Galium aparine ,5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,1,Acer pseudoplatanus ,100,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,1,Urtica dioica ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,1,Acer pseudoplatanus ,1,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,1,Hyacinthoides non-scripta ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,1,Dryopteris filix-mas,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,1,Pteridium aquilinum ,95,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,1,soil ,15,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,1,wood ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,1,moss ,1,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,1,Taxus baccata ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,2,Galium aparine ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,2,Acer pseudoplatanus ,100,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,2,Urtica dioica ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,2,Acer pseudoplatanus ,2,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,2,Hyacinthoides non-scripta ,5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,2,Dryopteris filix-mas,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,2,Pteridium aquilinum ,95,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,2,soil ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,2,wood ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,2,moss ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,2,Taxus baccata ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,3,Galium aparine ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,3,Acer pseudoplatanus ,100,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,3,Urtica dioica ,20,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,3,Acer pseudoplatanus ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,3,Hyacinthoides non-scripta ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,3,Dryopteris filix-mas,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,3,Pteridium aquilinum ,80,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,3,soil ,20,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,3,wood ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,3,moss ,1,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,3,Taxus baccata ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,4,Galium aparine ,15,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,4,Acer pseudoplatanus ,100,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,4,Urtica dioica ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,4,Acer pseudoplatanus ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,4,Hyacinthoides non-scripta ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,4,Dryopteris filix-mas,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,4,Pteridium aquilinum ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,4,soil ,70,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,4,wood ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,4,moss ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,121,4,Taxus baccata ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,1,Rumex acetosa,3,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,1,Luzulla campestris ,1,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,1,Holcus lanatus ,80,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,1,Veronica chamaedrys ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,1,Poa pratensis ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,1,Fetusca rubra ,20,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,1,Carex muricata ,2,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,1,soil ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,1,leaf litter ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,1,moss ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,2,Rumex acetosa,1,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,2,Luzulla campestris ,2,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,2,Holcus lanatus ,50,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,2,Veronica chamaedrys ,3,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,2,Poa pratensis ,20,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,2,Fetusca rubra ,30,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,2,Carex muricata ,5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,2,soil ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,2,leaf litter ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,2,moss ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,3,Rumex acetosa,2,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,3,Luzulla campestris ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,3,Holcus lanatus ,50,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,3,Veronica chamaedrys ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,3,Poa pratensis ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,3,Fetusca rubra ,5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,3,Carex muricata ,1,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,3,soil ,5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,3,leaf litter ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,3,moss ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,4,Rumex acetosa,4,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,4,Luzulla campestris ,3,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,4,Holcus lanatus ,35,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,4,Veronica chamaedrys ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,4,Poa pratensis ,30,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,4,Fetusca rubra ,15,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,4,Carex muricata ,3,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,4,soil ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,4,leaf litter ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,112,4,moss ,0,2022
07/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,A,1,Ilex aquifolium ,0.5,2022
07/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,A,1,Fagus sylvatica ,100,2022
07/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,A,1,leaf litter ,100,2022
07/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,A,1,wood ,5,2022
07/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,A,2,Ilex aquifolium ,0.5,2022
07/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,A,2,Fagus sylvatica ,100,2022
07/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,A,2,leaf litter ,100,2022
07/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,A,2,wood ,10,2022
07/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,A,3,Ilex aquifolium ,0.5,2022
07/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,A,3,Fagus sylvatica ,100,2022
07/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,A,3,leaf litter ,200,2022
07/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,A,3,wood ,5,2022
07/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,A,4,Ilex aquifolium ,0.5,2022
